,from_2000_Outflow_pc,from_2000_Inflow_pc,from_2000_Net_pc,minus_3_Outflow_pc,minus_3_Inflow_pc,minus_3_Net_pc,minus_10_Outflow_pc,minus_10_Inflow_pc,minus_10_Net_pc
per_pop_edu_high_school_grad,0.06404545705674407,0.020613112722979852,0.07845881033727634,0.06067050168214875,0.020708493189763408,0.06801043714714676,0.05769383868715863,0.02119370441356155,0.06334157485295909
per_pop_edu_less_than_high_school,0.006799638110666663,0.015672660146896604,0.010531252546440946,0.005192379669367652,0.01481678839849701,0.009471144593557683,0.007971893723307895,0.014479224930569058,0.013371707696566714
per_pop_edu_some_college,0.02037042170340986,0.012055801296422194,0.021940898936067293,0.01919716767727072,0.01124326098529756,0.0196104114955994,0.01753086284387853,0.011241521215724325,0.024685487068244076
per_pop_female,0.010347696702510357,0.011460070967004434,0.013390404235308843,0.013126429660994938,0.011046037292488736,0.02037843376672672,0.011985098477849081,0.011227996304088684,0.017065951447991532
per_pop_foreign_born,0.0069578258994241055,0.013367680459999717,0.009673381096741677,0.006051020097405018,0.012636005769116412,0.010267974438429544,0.006637879415189573,0.012509163572812884,0.010288074330842476
per_pop_veterans,0.018399193973618853,0.010882891764449197,0.015435886708963363,0.015217884376266986,0.010452742048157786,0.013504048716504164,0.016873926753032592,0.011352000994375862,0.018902322626160678
per_pop_white_alone,0.007694751606932927,0.009756399142393535,0.010849771498065439,0.007451684121885974,0.009056481277440373,0.008354128396985707,0.009579851226281385,0.009351934012176011,0.012583732034532676
rental_units_10_15_per_income_per_pop,0.017431542982783488,0.019865229536660933,0.03019271551653987,0.02012160390453575,0.021993493446857495,0.0232581732104659,0.020210613106841104,0.02068054809322774,0.02387546101092434
rental_units_15_20_per_income_per_pop,0.010096344308239488,0.011694423244247604,0.009802944445782393,0.009891314475570732,0.01178601319657874,0.014298362245753558,0.011400515476809727,0.010363198821883175,0.012027842558710236
rental_units_20_25_per_income_per_pop,0.01151375747674054,0.029620484640728795,0.008565562844558427,0.013188141763098417,0.028552350982368007,0.011360725786358505,0.01288892948823087,0.026730748728143298,0.01036236281320289
rental_units_25_30_per_income_per_pop,0.036884823477766705,0.04537024444908929,0.0197280578995131,0.03091215229725937,0.038793848408728016,0.030054678424110717,0.0323016002921871,0.04146782430968059,0.02843718691168258
rental_units_30_35_per_income_per_pop,0.023772031473684167,0.047527177976819386,0.009377614605914034,0.02291698175009971,0.05870131436884791,0.012190436868753811,0.024414314985586803,0.054844699619991916,0.009444702178861862
rental_units_35_40_per_income_per_pop,0.02764361539480646,0.05475568873150618,0.009457915692678556,0.028765349201437394,0.049247309314279515,0.011345756986457909,0.02647124937382418,0.05333098559431563,0.008910840606472325
rental_units_40_50_per_income_per_pop,0.06873186021173804,0.04093156702668794,0.08910888699922258,0.06927707565675364,0.04530488415768917,0.07431170772352752,0.07526771668070471,0.04263534734880853,0.07804637284402122
rental_units_above_50_per_income_per_pop,0.0316759669111047,0.030849554645387578,0.022999523055529363,0.03164346708512499,0.028661758523403188,0.026463586310619125,0.03096307069304656,0.027210258049115615,0.021414809310504535
rental_units_sub_10_per_income_per_pop,0.011298001280504557,0.015461164404967434,0.012226448044455475,0.009359709081298042,0.01596634648888283,0.011356348915892872,0.011397622905783547,0.01590457382372977,0.012620369558993485
unemployment_rate_2000,0.05946202000736368,0.02757174238328901,0.062098122260446795,0.06147952660959677,0.027140240225031965,0.0798348206826204,0.06307480797478698,0.02640421236220485,0.05508868603401168
